Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/env_infos/cagr Max,evaluation/env_infos/cagr Mean,evaluation/env_infos/cagr Min,evaluation/env_infos/cagr Std,evaluation/env_infos/final/cagr Max,evaluation/env_infos/final/cagr Mean,evaluation/env_infos/final/cagr Min,evaluation/env_infos/final/cagr Std,evaluation/env_infos/final/trade_days Max,evaluation/env_infos/final/trade_days Mean,evaluation/env_infos/final/trade_days Min,evaluation/env_infos/final/trade_days Std,evaluation/env_infos/final/wealths Max,evaluation/env_infos/final/wealths Mean,evaluation/env_infos/final/wealths Min,evaluation/env_infos/final/wealths Std,evaluation/env_infos/initial/cagr Max,evaluation/env_infos/initial/cagr Mean,evaluation/env_infos/initial/cagr Min,evaluation/env_infos/initial/cagr Std,evaluation/env_infos/initial/trade_days Max,evaluation/env_infos/initial/trade_days Mean,evaluation/env_infos/initial/trade_days Min,evaluation/env_infos/initial/trade_days Std,evaluation/env_infos/initial/wealths Max,evaluation/env_infos/initial/wealths Mean,evaluation/env_infos/initial/wealths Min,evaluation/env_infos/initial/wealths Std,evaluation/env_infos/trade_days Max,evaluation/env_infos/trade_days Mean,evaluation/env_infos/trade_days Min,evaluation/env_infos/trade_days Std,evaluation/env_infos/wealths Max,evaluation/env_infos/wealths Mean,evaluation/env_infos/wealths Min,evaluation/env_infos/wealths Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/env_infos/cagr Max,exploration/env_infos/cagr Mean,exploration/env_infos/cagr Min,exploration/env_infos/cagr Std,exploration/env_infos/final/cagr Max,exploration/env_infos/final/cagr Mean,exploration/env_infos/final/cagr Min,exploration/env_infos/final/cagr Std,exploration/env_infos/final/trade_days Max,exploration/env_infos/final/trade_days Mean,exploration/env_infos/final/trade_days Min,exploration/env_infos/final/trade_days Std,exploration/env_infos/final/wealths Max,exploration/env_infos/final/wealths Mean,exploration/env_infos/final/wealths Min,exploration/env_infos/final/wealths Std,exploration/env_infos/initial/cagr Max,exploration/env_infos/initial/cagr Mean,exploration/env_infos/initial/cagr Min,exploration/env_infos/initial/cagr Std,exploration/env_infos/initial/trade_days Max,exploration/env_infos/initial/trade_days Mean,exploration/env_infos/initial/trade_days Min,exploration/env_infos/initial/trade_days Std,exploration/env_infos/initial/wealths Max,exploration/env_infos/initial/wealths Mean,exploration/env_infos/initial/wealths Min,exploration/env_infos/initial/wealths Std,exploration/env_infos/trade_days Max,exploration/env_infos/trade_days Mean,exploration/env_infos/trade_days Min,exploration/env_infos/trade_days Std,exploration/env_infos/wealths Max,exploration/env_infos/wealths Mean,exploration/env_infos/wealths Min,exploration/env_infos/wealths Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0.9986867,0.007778437,-0.9982296,0.62952083,0.1879390185910641,4,0.2123546839075885,0.1879390185910641,0.13000448063927217,0.033678757414349406,0.06494390553594886,0.0008907062492467493,-0.0776045042799478,0.008393807412326714,0.13192894117098541,0.03829163579136486,-0.3449669382020365,0.02985975007597571,0.04873746517032074,0.04339854145032529,0.0306644717113993,0.007400235865936963,1477,1477.0,1477,0.0,1.2123546839075885,1.187939018591064,1.1300044806392722,0.033678757414349406,-0.26822083173761435,-0.30487555390875243,-0.3449669382020365,0.02965177903108852,7,7.0,7,0.0,0.9940290332472566,0.993032805250359,0.9919191639617967,0.0008151884040573979,1477,742.0,7,426.3683853195497,1.2368288673806034,1.087610679495078,0.9919191639617967,0.06928575639167833,4,844,211,211.0,211,0.0,0.99876636,-0.007358831,-0.9980972,0.6272144,0.08450379195644549,12,0.2389701710579164,0.08450379195644549,-0.0003345602141200388,0.0700236491457726,0.020015617863170743,0.0010140455034773458,-0.02979623649593588,0.005267165306180714,0.5037081944032291,0.0636587003058594,-0.30944873237374515,0.07228085164360314,0.13703906695756052,0.05095006367541616,-0.00020052982558071974,0.039434783644131936,609,583.3333333333334,301,85.12670295245526,1.2389701710579164,1.0845037919564455,0.99966543978588,0.0700236491457726,0.5037081944032291,0.07773308641116536,-0.30944873237374515,0.28502588791849237,7,7.0,7,0.0,1.0078540780872922,1.00074040359233,0.9929241785561443,0.005287629676662867,609,301.378,7,175.7107484361728,1.2389701710579164,1.0476604799569518,0.9602636076288317,0.050925416784158295,24,2000,87,83.33333333333333,43,12.160957564636465,2000,0.012278711000135445,77.17986605399847,3.0158369969999512,2.798780335999936,0.019793977999825074,71.27813722999849,0.0549613620000855,87.11856037700068,7.744000004095142e-05,1.0,-0.0,-4.813465,-6.6635547,-8.705989,0.7003847,-6.662822,176.27014,12.481972,-229.86458,53.69171,0.0014597389,-3.847417e-05,-0.001306717,0.0005668537,0.0032769802,-0.0004137847,-0.0025186944,0.0011641324,3038.6006,3038.6155,3000,0.0015993931,-3.1883483e-05,-0.0008341099,0.00047706845,0.0012687737,0.00015329702,-0.0014345798,0.0006616113,1.0012696,1.0001535,0.99856645,0.0006616547
1,0.9976924,0.24254781,-0.9959038,0.6114507,0.19441429474934624,4,0.2107698644303051,0.19441429474934624,0.17030977128535918,0.016555159911424713,0.056047096787128714,0.0009213947618452429,-0.04496418653677359,0.0066774248423869175,0.09640717343508265,0.03888186685044286,-0.32479103609529403,0.025772891689012735,0.048398509362158615,0.04486203987731424,0.039629693740092176,0.0035863977340434713,1477,1477.0,1477,0.0,1.210769864430305,1.1944142947493464,1.1703097712853592,0.016555159911424713,-0.21912531561636217,-0.2560625292132551,-0.32479103609529403,0.0407000817139993,7,7.0,7,0.0,0.995267714409705,0.9943141350123595,0.992496426529342,0.0010732354257509996,1477,742.0,7,426.3683853195497,1.2336550210835906,1.0898441441339783,0.992496426529342,0.07142892441140332,8,1688,211,211.0,211,0.0,0.9983127,0.24972795,-0.9990017,0.6932705,0.09433991828322925,12,0.28072620047095964,0.09433991828322925,-0.002202087641328343,0.08283454824881059,0.020439550605264145,0.001132079019398751,-0.027011871148499123,0.005358224665333318,0.9775516529764068,0.05960785452851122,-0.43954002149822335,0.09522045080825613,0.1598536610604706,0.05470095417320128,-0.0026696801073796683,0.047396682558243294,609,583.3333333333334,301,85.12670295245526,1.2807262004709596,1.0943399182832294,0.9977979123586717,0.08283454824881059,0.9775516529764068,0.05781517940720799,-0.43954002149822335,0.3667956272797006,7,7.0,7,0.0,1.0131626330307486,1.000022340772728,0.9889573619876326,0.006386054820683183,609,301.378,7,175.7107484361728,1.2807262004709596,1.0488591492261772,0.954109472093489,0.059123332842367586,36,3000,87,83.33333333333333,43,12.160957564636465,3000,0.008616434000032314,73.13855912899726,2.947437400000126,3.0828345870002067,0.021258079000062935,67.05298151099691,0.025330167999982223,163.7618531719961,0.00010094999993270903,0.45759260654449463,-5.81301736831665,8.558503,2.5643435,-4.690192,2.715899,-239.91234,392.59402,230.16565,-28.199884,69.04824,274.28223,230.51471,110.51697,41.386997,269.0173,229.70053,116.27978,40.469086,3392.369,3375.5627,6000,0.96256214,0.24531727,-0.95885897,0.67794895,-0.073648445,-0.49738893,-1.0366553,0.19989902,0.92899823,0.61964244,0.35463887,0.11444776
2,0.9975307,-0.03148386,-0.996742,0.6864263,0.1681074308869504,4,0.18410010119287157,0.1681074308869504,0.14444948441773553,0.01642158297389889,0.03555998343439559,0.0007967176819286749,-0.026723900057000538,0.0042999059228735,0.08747831325610034,0.03084623430183081,-0.2777290088524237,0.025198854794811952,0.042643722366508374,0.03912671163004361,0.03390479108687594,0.0036172139256472734,1477,1477.0,1477,0.0,1.1841001011928716,1.1681074308869503,1.1444494844177355,0.01642158297389889,-0.20557861383092202,-0.24573347872152193,-0.2777290088524237,0.0261428120342414,7,7.0,7,0.0,0.9955960581960885,0.9945950592542261,0.9937797438301943,0.0006568080361379288,1477,742.0,7,426.3683853195497,1.2164606250336005,1.0772540523325198,0.9937797438301943,0.0696434744442954,12,2532,211,211.0,211,0.0,0.9984203,0.050139733,-0.9982902,0.79599386,0.0549663599401461,12,0.15117868647928123,0.0549663599401461,-0.012398807422340341,0.049502700973618675,0.014662117393569485,0.0006595963192817532,-0.02647369775798314,0.0049664018569751545,0.7668344763623354,0.05366825079932255,-0.25456709885449025,0.065516257653025,0.08804156064717561,0.035739999849013764,-0.007449706103000997,0.031830144185279304,609,583.3333333333334,301,85.12670295245526,1.1511786864792812,1.0549663599401462,0.9876011925776597,0.049502700973618675,0.7668344763623354,0.1863971378201863,-0.25456709885449025,0.29545206526683115,7,7.0,7,0.0,1.0109757597901265,1.0027209641389627,0.9943815113574335,0.0046704794878260104,609,301.378,7,175.7107484361728,1.1511786864792812,1.0323582521472772,0.959819757315787,0.034103913657684386,48,4000,87,83.33333333333333,43,12.160957564636465,4000,0.013794105999977546,68.73047905300473,3.1921940729998823,3.36111842299988,0.019752909000089858,62.06985020300476,0.0736927560001277,236.0105646980071,7.658300000912277e-05,0.29817700386047363,-0.08248372375965118,15.418275,9.931836,-0.857584,3.3284895,-441.1502,662.18335,429.8726,-30.403666,126.26843,526.17065,429.86365,204.41104,105.03049,518.43036,428.91467,208.18796,104.99065,4374.93,4313.763,9000,0.97292924,0.020150926,-0.97127205,0.8113437,-0.16230646,-0.91512966,-2.0940738,0.44673273,0.8501806,0.43372974,0.12318428,0.14262328
3,0.99603117,0.14214864,-0.99495655,0.63979834,0.18917558859433087,4,0.2104265120966704,0.18917558859433087,0.1738000710553682,0.01368481134767676,0.04746636298319151,0.0008965667705892458,-0.03484262505005309,0.005772436191320631,0.10880199371183297,0.03686149769734613,-0.2662705126546999,0.025415999076517242,0.04832503031244362,0.04373356025722003,0.04039505406077093,0.0029614949286029574,1477,1477.0,1477,0.0,1.2104265120966704,1.1891755885943307,1.1738000710553682,0.01368481134767676,-0.1799870846237004,-0.23722895992337095,-0.2662705126546999,0.03516060907037942,7,7.0,7,0.0,0.9962016257900523,0.9948006529206642,0.9940797746960858,0.0008647372411032939,1477,742.0,7,426.3683853195497,1.234710410772932,1.0871094293390169,0.9940797746960858,0.07380622696581927,16,3376,211,211.0,211,0.0,0.99855256,-0.014085689,-0.9991061,0.8134015,0.06179493452248353,12,0.15988301176077568,0.06179493452248353,-0.031279775442227487,0.058934708113797765,0.015295578379589392,0.0007415392142698024,-0.021563657658868696,0.00483705738442084,0.46182872141490305,0.036254691186822924,-0.284706960700592,0.06090201980234233,0.09296487319175895,0.0384670568078026,-0.018866543754403886,0.034575601110098705,609,583.3333333333334,301,85.12670295245526,1.1598830117607757,1.0617949345224835,0.9687202245577725,0.058934708113797765,0.46182872141490305,0.017365218532566108,-0.284706960700592,0.18877577394207926,7,7.0,7,0.0,1.0073082675057359,1.0000168743998727,0.9935947364452256,0.0034845602425486607,609,301.378,7,175.7107484361728,1.163180762501408,1.0295949366849244,0.9241079272220849,0.04266665561763481,60,5000,87,83.33333333333333,43,12.160957564636465,5000,0.01437134299999343,74.74703906599848,3.087538257999995,2.949606648000099,0.018450333000146202,68.59551310499842,0.08148701799996161,314.50261372400837,7.236099986585032e-05,0.4527450501918793,0.7882047295570374,18.147259,10.994673,-0.14857769,3.3331397,-723.71515,996.15735,702.2857,-15.303085,208.00967,868.48395,700.98956,313.6185,187.0318,860.8644,701.2694,315.29,186.49622,7132.8384,7216.532,12000,0.9895685,-0.048819814,-0.9755835,0.83718616,-0.57619834,-0.87743294,-1.7526326,0.28936666,0.562031,0.43044457,0.17331707,0.09407532
4,0.9953033,0.13605417,-0.99319756,0.5901991,0.26163908725465007,4,0.28374249088780124,0.26163908725465007,0.24680840051090613,0.013580320175039136,0.07600322354143874,0.0012399956741926544,-0.0646080497057071,0.00930375113095326,0.08829153735776685,0.04609389397162185,-0.3053710987545709,0.0274772621739473,0.06367104910477828,0.059104194233711715,0.05602517251200556,0.002809002910636232,1477,1477.0,1477,0.0,1.2837424908878012,1.2616390872546501,1.2468084005109061,0.013580320175039134,-0.2221345227754048,-0.26550598955404925,-0.3053710987545709,0.02948167008108485,7,7.0,7,0.0,0.9951940194291314,0.9940846129837241,0.9930362974918684,0.000763505251117769,1477,742.0,7,426.3683853195497,1.3017595639434454,1.112153661395818,0.9930362974918684,0.09259733695878322,20,4220,211,211.0,211,0.0,0.998188,-0.010727428,-0.9972264,0.7426152,0.09722474619371069,12,0.25441027255079307,0.09722474619371069,0.0158561244701918,0.0729943416140295,0.02058339463818415,0.0011666969543245283,-0.028712060119102212,0.005326803462103448,1.1700717985566422,0.07675508783735847,-0.432300356090325,0.0842369801650847,0.15755142823362855,0.06351335175680084,0.009473295055602238,0.050213928311576755,609,583.3333333333334,301,85.12670295245526,1.254410272550793,1.0972247461937108,1.0158561244701918,0.07299434161402948,1.1700717985566422,0.1077343298335881,-0.432300356090325,0.46196177381571357,7,7.0,7,0.0,1.0149693508471898,1.0005686093052832,0.989200817770173,0.0071701069855565,609,301.378,7,175.7107484361728,1.254410272550793,1.0552248170136296,0.9879282327836615,0.049745375884253526,72,6000,87,83.33333333333333,43,12.160957564636465,6000,0.015834327999982634,66.54832903800161,3.2569686420001744,3.210256787000162,0.018900839999787422,60.0198938700014,0.02638578599999164,384.5133963420119,8.87850001163315e-05,0.37903323769569397,-0.7078938484191895,17.795454,9.270311,-0.06865597,3.3359706,-844.04114,1162.8768,819.26685,-104.0922,246.31224,1030.4755,827.5885,407.04974,221.58011,1022.4525,828.0808,414.76337,221.01483,9748.101,10030.457,15000,0.9733467,0.0006837015,-0.96945894,0.74940103,-0.4620595,-1.2489374,-2.3915198,0.4833568,0.62998486,0.31915602,0.09149053,0.13700607
5,0.99903196,0.1689201,-0.99522185,0.60094386,0.22301840082984792,4,0.23982740689264737,0.22301840082984792,0.18435435037370862,0.02269850332251973,0.05408449681903993,0.0010569592456390897,-0.04667025022887006,0.006781182291636816,0.10536919893583385,0.04276929924973802,-0.26132430809012985,0.025779772615880776,0.054560901157216346,0.05097548198862201,0.04269904264344415,0.004856513230987801,1477,1477.0,1477,0.0,1.2398274068926474,1.2230184008298481,1.1843543503737086,0.02269850332251973,-0.23757628677121,-0.2528309632799725,-0.26132430809012985,0.009162859081456889,7,7.0,7,0.0,0.9948113985877947,0.9944244795643151,0.994207869277751,0.00023263401233966914,1477,742.0,7,426.3683853195497,1.2562630107999153,1.098056862818567,0.994207869277751,0.07769121689320066,24,5064,211,211.0,211,0.0,0.99876547,0.28652573,-0.99800754,0.6523995,0.08058877002130055,12,0.1378279997167744,0.08058877002130055,-0.007445349540266433,0.04179262248451042,0.01734898385714989,0.0009670652402556066,-0.021497145856404165,0.004590793282435454,0.5428724119211883,0.04702667358278101,-0.3011461890244853,0.05859348144044303,0.08046110635591086,0.046979472021534074,-0.00902125360307493,0.02519418204933468,609,583.3333333333334,301,85.12670295245526,1.1378279997167744,1.0805887700213006,0.9925546504597336,0.04179262248451041,0.5428724119211883,0.06635968725570905,-0.249965995938072,0.2035859759956585,7,7.0,7,0.0,1.0083511744829348,1.0008993218957116,0.9944988660201088,0.0036007328223580898,609,301.378,7,175.7107484361728,1.141393200691304,1.041878101035169,0.9682123244194423,0.037880268206496356,84,7000,87,83.33333333333333,43,12.160957564636465,7000,0.013831658000071911,77.12631096899577,3.1663638420000098,3.422604812999907,0.01916680600015752,70.42938210499597,0.07487796799978241,465.4803069390084,8.377699987249798e-05,0.35849663615226746,0.20483000576496124,18.335945,10.199671,-1.4403,3.5446005,-997.834,1277.6531,982.5182,-60.683655,276.64172,1191.1698,981.2074,454.1372,260.8624,1182.2499,981.7096,462.9248,260.66565,14363.238,14160.797,18000,0.9872576,0.2561944,-0.9724717,0.67143965,-0.37825552,-1.2929709,-2.4009235,0.62450564,0.68505543,0.32407865,0.09063422,0.16188318
6,0.99622715,-0.036394205,-0.99780077,0.6789695,0.17608869572352126,4,0.18489866061085136,0.17608869572352126,0.16678665088992428,0.00783336014492358,0.05171777960658486,0.0008345435816280629,-0.039193064587460746,0.005399312781103218,0.12722927226673053,0.03633842225319749,-0.29449759869126224,0.027648485636823917,0.04281744519601283,0.04089168263657811,0.03885539162692431,0.0017134334690190607,1477,1477.0,1477,0.0,1.1848986606108514,1.1760886957235213,1.1667866508899243,0.00783336014492358,-0.24836133261434512,-0.2698417206288193,-0.29449759869126224,0.016388839561054025,7,7.0,7,0.0,0.9945396281790648,0.9939820292167225,0.9933321493543465,0.00042939739549600577,1477,742.0,7,426.3683853195497,1.211206924969945,1.0834874885460661,0.9933321493543465,0.06892828065419768,28,5908,211,211.0,211,0.0,0.99815243,0.13643122,-0.998957,0.7711234,0.05858605123219677,12,0.13599809925033535,0.05858605123219677,-0.009686562509448438,0.0428336450636615,0.012320108880910174,0.0007030326147863613,-0.01880009467249133,0.004284760826081692,0.6467734238602147,0.04288814905848955,-0.1922444216659499,0.06405370547156208,0.08165855651690879,0.03801808618404365,-0.005816892160643294,0.028232263606688894,609,583.3333333333334,301,85.12670295245526,1.1359980992503353,1.058586051232197,0.9903134374905516,0.0428336450636615,0.6467734238602147,0.20056760021356548,-0.1057293359791096,0.2008534253251239,7,7.0,7,0.0,1.0096122741424494,1.0032613537243673,0.9978592055865022,0.0031003408032606954,609,301.378,7,175.7107484361728,1.1503503525163166,1.0308923935069467,0.9442213379359259,0.037102098736376814,96,8000,87,83.33333333333333,43,12.160957564636465,8000,0.011624641000253177,74.51134042699368,3.145128346999627,3.353579212999648,0.02177953399996113,67.91823234699405,0.06092604100012977,543.7754906260204,7.030400001895032e-05,0.389346182346344,0.42014652490615845,17.161135,10.445408,-10.939095,3.8883646,-1038.7648,1343.2906,1022.8339,12.274128,280.39365,1252.0236,1025.227,513.06964,270.50677,1243.2201,1023.48975,526.1685,270.3471,5042.933,5030.1143,21000,0.96931237,0.16288166,-0.98741287,0.7821253,-0.46049073,-1.1348776,-2.428196,0.47351244,0.63097394,0.35406977,0.0881958,0.13650379
7,0.99001604,-0.04248775,-0.9971536,0.5930306,0.26539216292797824,4,0.2769855340224441,0.26539216292797824,0.25704618662280465,0.007239842620314091,0.06869124784184533,0.00125778276269184,-0.07352092107879638,0.009435166174123768,0.08969592767908385,0.047747761928683824,-0.26440477248691774,0.02637016106765874,0.06228475543692347,0.05989005505917483,0.058161436443566084,0.0014965442535706214,1477,1477.0,1477,0.0,1.276985534022444,1.2653921629279783,1.2570461866228047,0.007239842620314091,-0.2121843723727478,-0.24934979687361175,-0.26440477248691774,0.021697572800732715,7,7.0,7,0.0,0.9954366402367724,0.9945068684129962,0.994128191999339,0.0005431814004542012,1477,742.0,7,426.3683853195497,1.2911670859079647,1.11418820903409,0.994128191999339,0.09080553196688533,32,6752,211,211.0,211,0.0,0.99771655,0.027324429,-0.9976461,0.72278744,0.061095624877931055,12,0.16803324771764783,0.061095624877931055,0.005362394101028789,0.04991212208537681,0.02230243803726739,0.0007331474985351727,-0.02920276134074795,0.0058558029622442186,1.7545528292687527,0.05360901251702282,-0.28031553528307707,0.08725340003313595,0.09756138097729283,0.036186387614164706,0.006506272755319342,0.02865661678963979,609,583.3333333333334,301,85.12670295245526,1.1680332477176478,1.061095624877931,1.0053623941010288,0.04991212208537681,1.7545528292687527,0.25200966347222536,-0.18459625537488378,0.48662051763642883,7,7.0,7,0.0,1.019622325809129,1.0033179163311232,0.9960939409733195,0.005797637079053688,609,301.378,7,175.7107484361728,1.1819113169864461,1.0365069462672538,0.9436622964502552,0.040215229659423965,108,9000,87,83.33333333333333,43,12.160957564636465,9000,0.013338795999970898,75.09435837100409,3.0538313140000355,3.268283062000137,0.0197171269996943,68.71315605200425,0.025922957000148017,622.6736664990315,0.00010906299985435908,0.4306808412075043,0.09101951122283936,16.286446,10.108049,-0.5747447,3.4574268,-1045.156,1513.7744,1036.7197,-4.135459,364.87054,1381.0164,1031.0955,481.14728,344.57373,1360.5431,1028.105,493.0462,344.53223,7153.047,7342.9663,24000,0.9816641,0.018002504,-0.9819701,0.7275521,-0.574524,-1.3135254,-2.3910975,0.594576,0.5629728,0.31303573,0.09152917,0.14923163
8,0.9991559,0.0563394,-0.9971284,0.6284652,0.2212855477113178,4,0.22801293751127716,0.2212855477113178,0.2177186820198802,0.004022286679200178,0.05489958995370525,0.00104874667161762,-0.04775750421621372,0.00731332115865605,0.09623050173356096,0.04160447599086239,-0.27018195658438615,0.026415611303295387,0.052068598347497774,0.050640297991494165,0.049882229283524815,0.00085412642637266,1477,1477.0,1477,0.0,1.2280129375112772,1.2212855477113178,1.2177186820198802,0.004022286679200178,-0.2544270442584058,-0.26088464793846633,-0.27018195658438615,0.005771368238983996,7,7.0,7,0.0,0.9943850940291206,0.9942186424765496,0.9939778767427263,0.00014928144981450766,1477,742.0,7,426.3683853195497,1.2443707474995498,1.098178139990719,0.9939778767427263,0.07895771627140187,36,7596,211,211.0,211,0.0,0.9998233,0.100595176,-0.9998486,0.6860013,0.07713662298361157,12,0.20359690984457224,0.07713662298361157,0.01806548508791672,0.049719073433152905,0.015977660062438614,0.0009256394758033388,-0.02141758096326163,0.004295491580021028,0.7050717867996967,0.047748631833240705,-0.3042877600750138,0.059065073854036684,0.11746975444491858,0.049159875358671445,0.010788567570023444,0.031144578161111866,609,583.3333333333334,301,85.12670295245526,1.2035969098445722,1.0771366229836115,1.0180654850879167,0.0497190734331529,0.7050717867996967,0.06092395956717098,-0.3042877600750138,0.2574392673517973,7,7.0,7,0.0,1.0102861049829202,1.0006233479770614,0.9930659765249261,0.004410829270517969,609,301.378,7,175.7107484361728,1.2035969098445722,1.0381471863289402,0.9565582218033686,0.04179009706848375,120,10000,87,83.33333333333333,43,12.160957564636465,10000,0.012825149000036618,70.1370762230008,3.2005155749998266,3.3007738450000943,0.020853407999766205,63.546513141001014,0.05552171299996189,696.415931493025,7.339200010392233e-05,0.297832727432251,-0.485465407371521,24.952284,9.599195,-2.1557894,3.1013873,-1078.6426,1460.9828,1070.8895,13.754969,324.39056,1337.6536,1070.7554,424.76193,314.08304,1320.0486,1066.1267,392.94894,312.71182,5816.6177,5806.781,27000,0.99255466,0.13286467,-0.9906256,0.6640799,-0.15934974,-1.4246734,-2.7166333,0.5818324,0.8526981,0.28243595,0.06609691,0.15361023
9,0.992777,0.0019652126,-0.9961735,0.6253211,0.21312321782167726,4,0.23212629009786,0.21312321782167726,0.19907211589645768,0.012613229948223987,0.05352292833757133,0.0010100626437046316,-0.04131542421719936,0.006193248069175801,0.08071465761080598,0.03969864203150805,-0.20492622636768343,0.020139403389705837,0.05293836456974099,0.048891195877741156,0.0458862468436263,0.0026904883762385993,1477,1477.0,1477,0.0,1.23212629009786,1.2131232178216773,1.1990721158964577,0.012613229948223987,-0.1799744048799301,-0.19204333921542452,-0.20492622636768343,0.009672978312114864,7,7.0,7,0.0,0.9962019212093853,0.9959173419070482,0.9956117317751716,0.00022879569342554225,1477,742.0,7,426.3683853195497,1.2431529721628962,1.0920445047075553,0.9956117317751716,0.0701973840697492,40,8440,211,211.0,211,0.0,0.9952026,-0.07416739,-0.9993482,0.7350843,0.0984561015265119,12,0.23539121479731362,0.0984561015265119,0.04259644409330732,0.05903705305282397,0.02126707444864384,0.0011814732183181426,-0.02062162688589897,0.004637007533321128,0.7248208002422045,0.07788525985375289,-0.4817489814542373,0.07363591843389426,0.13506937603876046,0.06292026226862381,0.025316259815173048,0.03840722145082301,609,583.3333333333334,301,85.12670295245526,1.2353912147973136,1.0984561015265117,1.0425964440933073,0.05903705305282398,0.7248208002422045,0.07922324516547165,-0.4817489814542373,0.28288949655125994,7,7.0,7,0.0,1.0105092551391401,1.0007712215451399,0.9874734503218485,0.00536180974469622,609,301.378,7,175.7107484361728,1.2353912147973136,1.055898411181699,0.9874734503218485,0.04791021492959887,132,11000,87,83.33333333333333,43,12.160957564636465,11000,0.009804308000184392,78.83716283900048,2.859415581000121,3.220401115000186,0.016990631999760808,72.66818796500002,0.062282972000048176,779.1586073210285,8.02660001681943e-05,0.4836321473121643,-0.2410740852355957,18.05214,9.6681385,-7.8622007,4.696635,-1101.6454,1614.4375,1090.2051,63.492138,408.73148,1466.4961,1083.7583,524.0089,397.12518,1457.8369,1085.3485,515.01263,396.6866,4107.7812,4249.3716,30000,0.9662616,-0.076828405,-0.9778679,0.74343854,-0.31380072,-1.1890872,-2.340121,0.5730903,0.7306646,0.35033327,0.09631597,0.1611533
