,trade_days,wealths,max_weath,cagr,std,mean,mean_square,mdd,profit,reward,dd,episode,date
0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2017-03-05
1,7,0.9944933881573805,1.0,-0.25018138391677114,0.0,-0.005506611842619469,3.032277398527698e-05,0.005506611842619469,-0.005506611842619469,-0.005506611842619469,0.005506611842619469,1,2017-03-12
2,14,0.9988650973311592,1.0,-0.029171391562316074,0.007002144429764039,-0.0005553480334857062,2.4823424745934218e-05,0.005506611842619469,0.0043959157756480564,0.0043959157756480564,0.0011349026688407537,2,2017-03-19
3,21,1.0012210395217391,1.0012210395217391,0.021436411650915366,0.005229284328270421,0.00041597430886635144,1.8403311016233265e-05,0.005506611842619469,0.0023586189935704666,0.0023586189935704666,0.0,3,2017-03-26
4,28,1.0029490368121217,1.0029490368121217,0.03913249732545632,0.004319634951185943,0.0007434532092976459,1.4547157258045358e-05,0.005506611842619469,0.0017258899105915295,0.0017258899105915295,0.0,4,2017-04-02
5,35,1.0036401663129517,1.0036401663129517,0.03861989528309806,0.003740992581656478,0.0007325820329269745,1.1732696831774458e-05,0.005506611842619469,0.0006890973274442888,0.0006890973274442888,0.0,5,2017-04-09
6,42,1.0086579288956803,1.0086579288956803,0.07779541766475484,0.003772339059114494,0.0014437455842185405,1.3943186292717892e-05,0.005506611842619469,0.00499956334067637,0.00499956334067637,0.0,6,2017-04-16
7,49,1.0098439264893153,1.0098439264893153,0.0756968077956841,0.0034451473190687375,0.0014054701364388485,1.2148809204495586e-05,0.005506611842619469,0.001175817449760696,0.001175817449760696,0.0,7,2017-04-23
8,56,1.0100831345299075,1.0100831345299075,0.06757669288884482,0.003216234500082766,0.0012593959004112009,1.0637221848554848e-05,0.005506611842619469,0.00023687624821766752,0.00023687624821766752,0.0,8,2017-04-30
9,63,1.0076184928436815,1.0100831345299075,0.04495267814952508,0.0032514288969324816,0.0008483476392239899,1.0116840269694762e-05,0.005506611842619469,-0.002440038450273698,-0.002440038450273698,0.002440038450273698,9,2017-05-07
10,70,1.0085792314881241,1.0100831345299075,0.045550729656725464,0.003065656817161849,0.0008588603358003748,9.196067624960957e-06,0.005506611842619469,0.0009534746049878395,0.0009534746049878395,0.0014888903599833882,10,2017-05-14
11,77,1.0127158476095226,1.0127158476095226,0.061726552008836144,0.0030682678509507426,0.0011536393064065598,9.889308744902469e-06,0.005506611842619469,0.004101429012468409,0.004101429012468409,0.0,11,2017-05-21
12,84,1.0148584019623785,1.0148584019623785,0.06618658097509211,0.0029386302032074897,0.0012338070345286204,9.438198313721993e-06,0.005506611842619469,0.0021156520438712877,0.0021156520438712877,0.0,12,2017-05-28
13,91,1.0195375674479712,1.0195375674479712,0.08070030885179391,0.0029653131409078104,0.0014935648371612411,1.0347427021549601e-05,0.005506611842619469,0.00461065846875269,0.00461065846875269,0.0,13,2017-06-04
14,98,1.016956593203981,1.0195375674479712,0.0646277327678988,0.0030453118525643483,0.0012060591626055913,1.006607982026174e-05,0.005506611842619469,-0.0025315146066178544,-0.0025315146066178544,0.0025315146066178544,14,2017-06-11
15,105,1.0184229299680227,1.0195375674479712,0.06551563178465636,0.0029351675891248603,0.0012217810363111552,9.53361042518867e-06,0.005506611842619469,0.0014418872681890502,0.0014418872681890502,0.0010932774971093213,15,2017-06-18
16,112,1.0193147835257552,1.0195375674479712,0.06432982242459873,0.00283696076899282,0.001200152235626038,8.98569014318224e-06,0.005506611842619469,0.0008757202253492785,0.0008757202253492785,0.00021851467697618065,16,2017-06-25
17,119,1.0153923964816085,1.0195375674479712,0.04796721892858402,0.0030073927865929898,0.000903198424764574,9.328154568945723e-06,0.005506611842619469,-0.0038480625490188484,-0.0038480625490188484,0.0040657363678501465,17,2017-07-02
18,126,1.0125977376197628,1.0195375674479712,0.03693110616853268,0.0030421629488232753,0.00070011548703488,9.230764024201815e-06,0.006806840718561899,-0.0027522944543699173,-0.0027522944543699173,0.006806840718561899,18,2017-07-09
19,133,1.0179784669564234,1.0195375674479712,0.05011651391433647,0.0031402096387740095,0.000942940336889718,1.0231057445148723e-05,0.006806840718561899,0.0053137876342768025,0.0053137876342768025,0.0015292231903238833,19,2017-07-16
20,140,1.0228938654124227,1.0228938654124227,0.06079071773423217,0.0031775515409823117,0.0011372227124908055,1.088526760362406e-05,0.006806840718561899,0.004828587848911467,0.004828587848911467,0.0,20,2017-07-23
21,147,1.0230054576456273,1.0230054576456273,0.05810041384006959,0.0031052097664385743,0.0010882642326248977,1.0367488271996852e-05,0.006806840718561899,0.0001090946353067416,0.0001090946353067416,0.0,21,2017-07-30
22,154,1.023586803866183,1.023586803866183,0.056809728345126986,0.003032401644573258,0.001064628260401875,9.910917624401896e-06,0.006806840718561899,0.0005682728437183991,0.0005682728437183991,0.0,22,2017-08-06
23,161,1.0246872656966903,1.0246872656966903,0.05684530113002784,0.0029626827475313674,0.0010650837087924883,9.530262410015175e-06,0.006806840718561899,0.0010751035733859834,0.0010751035733859834,0.0,23,2017-08-13
24,168,1.0240985031820513,1.0246872656966903,0.053097647428960615,0.0029168269590256358,0.000996764480893015,9.146923959731211e-06,0.006806840718561899,-0.0005745777607948663,-0.0005745777607948663,0.0005745777607948663,24,2017-08-20
25,175,1.0263823580062748,1.0263823580062748,0.05581472654803732,0.0028660478743548854,0.0010460983997452073,8.979983063319874e-06,0.006806840718561899,0.00223011245219782,0.00223011245219782,0.0,25,2017-08-27
26,182,1.0303011931024908,1.0303011931024908,0.06169467070486934,0.0028602797673545964,0.0011527140188505617,9.195288404964287e-06,0.006806840718561899,0.003818104496484425,0.003818104496484425,0.0,26,2017-09-03
27,189,1.0330288556714062,1.0330288556714062,0.06476608110474635,0.0028194480611876435,0.0012080743114882384,9.114312861081625e-06,0.006806840718561899,0.00264744192006783,0.00264744192006783,0.0,27,2017-09-10
28,196,1.0311667879363728,1.0330288556714062,0.05881895425086947,0.0028246370959132505,0.001100552651775715,8.904841765668042e-06,0.006806840718561899,-0.0018025321604624093,-0.0018025321604624093,0.0018025321604624093,28,2017-09-17
29,203,1.0290776045067316,1.0330288556714062,0.052887816010132704,0.0028338514932410557,0.0009927391698909985,8.739324162913376e-06,0.006806840718561899,-0.002026038322881063,-0.002026038322881063,0.00382491848410815,29,2017-09-24
30,210,1.0288753626228249,1.0330288556714062,0.05072161815724319,0.002793015979993909,0.000953096952906311,8.449300790657254e-06,0.006806840718561899,-0.00019652733964962556,-0.00019652733964962556,0.004020694122703717,30,2017-10-01
31,217,1.029577981840156,1.0330288556714062,0.05025123855163538,0.0027464999599546686,0.0009443809294473805,8.191786336708087e-06,0.006806840718561899,0.000682900225679465,0.000682900225679465,0.0033405396299480343,31,2017-10-08
32,224,1.0339581049011322,1.0339581049011322,0.05592245557857112,0.002764469254761744,0.001047815580272002,8.501386180142362e-06,0.006806840718561899,0.004254289755835269,0.004254289755835269,0.0,32,2017-10-15
33,231,1.031275608534731,1.0339581049011322,0.04986451440982864,0.0027938252754818632,0.0009374455442582009,8.447734737464155e-06,0.006806840718561899,-0.002594395608183436,-0.002594395608183436,0.002594395608183436,33,2017-10-22
34,238,1.0308929551050572,1.0339581049011322,0.04776650622532341,0.0027603058073419466,0.0008989604206880717,8.203321277713891e-06,0.006806840718561899,-0.00037104865712619077,-0.00037104865712619077,0.0029644816183031562,34,2017-10-29
35,245,1.0327365874318035,1.0339581049011322,0.04915968572698448,0.0027235626586898033,0.0009243725190774248,8.060321151097602e-06,0.006806840718561899,0.0017883838643154308,0.0017883838643154308,0.0011813993850799584,35,2017-11-05
36,252,1.0301020516257142,1.0339581049011322,0.043892844734004344,0.002746154980474852,0.0008278337272608161,8.01719343519996e-06,0.006806840718561899,-0.002551023986320491,-0.002551023986320491,0.0037294095932316864,36,2017-11-12
37,259,1.0321476578885824,1.0339581049011322,0.045600786911401237,0.0027144293532019906,0.0008591308898621779,7.907094039614968e-06,0.006806840718561899,0.0019858287435112034,0.0019858287435112034,0.001750986818487049,37,2017-11-19
38,266,1.034360122381076,1.034360122381076,0.04744762030362826,0.002685591639183652,0.0008929315044445469,7.819929059544496e-06,0.006806840718561899,0.0021435542439922016,0.0021435542439922016,0.0,38,2017-11-26
39,273,1.034946858206912,1.034946858206912,0.04699685915648244,0.002650532431710607,0.0008845805738425558,7.627668497232197e-06,0.006806840718561899,0.0005672452109668918,0.0005672452109668918,0.0,39,2017-12-03
40,280,1.0341064969630331,1.034946858206912,0.044688623862627175,0.0026300464002846084,0.0008421664364478571,7.453459772638059e-06,0.006806840718561899,-0.0008119849219453863,-0.0008119849219453863,0.0008119849219453863,40,2017-12-10
41,287,1.0369280997295234,1.0369280997295234,0.047197900295536055,0.002613619329517514,0.0008881755908044091,7.453251977298402e-06,0.006806840718561899,0.0027285417650664895,0.0027285417650664895,0.0,41,2017-12-17
42,294,1.0357519675994242,1.0369280997295234,0.044575854462770126,0.0026003425939050084,0.0008400226824516109,7.3064249125746684e-06,0.006806840718561899,-0.0011342465600131168,-0.0011342465600131168,0.0011342465600131168,42,2017-12-24
43,301,1.039550839190983,1.039550839190983,0.04815992351340892,0.002605137288015524,0.0009057836102493808,7.449353068484146e-06,0.006806840718561899,0.003667742577755721,0.003667742577755721,0.0,43,2017-12-31
44,308,1.0415783236713165,1.0415783236713165,0.04946048207981879,0.0025794780708249584,0.0009295236789763557,7.366500771329432e-06,0.006806840718561899,0.0019503466342362763,0.0019503466342362763,0.0,44,2018-01-07
45,315,1.0433425663814373,1.0433425663814373,0.050393039083045155,0.0025525413755274878,0.0009465079672897516,7.266556639838741e-06,0.006806840718561899,0.0016938166530791748,0.0016938166530791748,0.0,45,2018-01-14
46,322,1.0410296076961332,1.0433425663814373,0.04663464834197395,0.0025667532852813243,0.000877738800822013,7.215425603286101e-06,0.006806840718561899,-0.0022168736902262306,-0.0022168736902262306,0.0022168736902262306,46,2018-01-21
47,329,1.045625736065587,1.045625736065587,0.050742897640077445,0.002590601295249563,0.0009529993228305774,7.476630970244066e-06,0.006806840718561899,0.0044149833352245494,0.0044149833352245494,0.0,47,2018-01-28
48,336,1.0353748836138437,1.045625736065587,0.03848611550539194,0.0029964834944001856,0.0007289043805588819,9.323154233789576e-06,0.009803557906210814,-0.009803557906210814,-0.009803557906210814,0.009803557906210814,48,2018-02-04
49,343,1.026109827161558,1.045625736065587,0.02780758793650273,0.0032715627399062157,0.0005314062470956783,1.0767084283836965e-05,0.01866433488665082,-0.008948504159138086,-0.008948504159138086,0.01866433488665082,49,2018-02-11
50,350,1.033069869660432,1.045625736065587,0.03451133500482828,0.0033565347368430913,0.0006564369437465141,1.1471908391956895e-05,0.01866433488665082,0.006782941079637465,0.006782941079637465,0.012007992890840131,50,2018-02-18
51,357,1.0321489295862845,1.045625736065587,0.032881071614859314,0.003329861709567692,0.0006260860307184669,1.1262551369669697e-05,0.01866433488665082,-0.0008914596206838928,-0.0008914596206838928,0.012888747870736381,51,2018-02-25
52,364,1.0286300690132657,1.045625736065587,0.028709841483379517,0.0033442071275404865,0.000548483287398141,1.1269483664757421e-05,0.01866433488665082,-0.003409256621938482,-0.003409256621938482,0.01625406344364806,52,2018-03-04
53,371,1.0325605796276391,1.045625736065587,0.03202565063021856,0.0033422637645275644,0.0006102309973811331,1.1332340506524138e-05,0.01866433488665082,0.003821111916496726,0.003821111916496726,0.01249506012266735,53,2018-03-11
54,378,1.0319866393774932,1.045625736065587,0.03086976545729936,0.0033143836138562976,0.000588637058142367,1.1128203830836166e-05,0.01866433488665082,-0.0005558417215122359,-0.0005558417215122359,0.013043956568450603,54,2018-03-18
55,385,1.0259983299643087,1.045625736065587,0.02463127293361045,0.0033947640419922922,0.0004724309202833351,1.1538078913410806e-05,0.018770966918938856,-0.005802700524104394,-0.005802700524104394,0.018770966918938856,55,2018-03-25
56,392,1.0308391548487623,1.045625736065587,0.02868486207434562,0.0034112731834504786,0.0005482475215040861,1.1729560349604302e-05,0.018770966918938856,0.0047181605886453875,0.0047181605886453875,0.01414137076662117,56,2018-04-01
57,399,1.0299296124426258,1.045625736065587,0.0273446777271793,0.0033859842776669926,0.0005231496346009545,1.1537436656008579e-05,0.018770966918938856,-0.0008823320319744166,-0.0008823320319744166,0.01501122541419217,57,2018-04-08
58,406,1.032150412728907,1.045625736065587,0.028857319575065876,0.0033629949390738827,0.0005513067811829391,1.1418678696865936e-05,0.018770966918938856,0.0021562641363560625,0.0021562641363560625,0.012887329444839488,58,2018-04-15
59,413,1.0280536642858877,1.045625736065587,0.024753186945726702,0.0033854225437929624,0.00047468905630819116,1.1492159808674584e-05,0.018770966918938856,-0.003969138986427186,-0.003969138986427186,0.01680531682953623,59,2018-04-22
60,420,1.027688513291157,1.045625736065587,0.024019461224827454,0.0033583192728179087,0.0004608577936010811,1.130272643846673e-05,0.018770966918938856,-0.0003551867061184113,-0.0003551867061184113,0.01715453451052468,60,2018-04-29
61,427,1.0269489891517833,1.045625736065587,0.022991408621282128,0.0033336437208345035,0.0004415060347046837,1.112592474995211e-05,0.018770966918938856,-0.0007195994990791628,-0.0007195994990791628,0.017861789615163135,61,2018-05-06
62,434,1.0307835558039797,1.045625736065587,0.025826783744676618,0.003332542260223662,0.0004946098200179703,1.1171350372231994e-05,0.018770966918938856,0.003733940724128452,0.003733940724128452,0.014194543754684555,62,2018-05-13
63,441,1.0260725640974677,1.045625736065587,0.02153133969983667,0.003366586872708467,0.00041421440108119944,1.1325577453119636e-05,0.018770966918938856,-0.0045703015729985945,-0.0045703015729985945,0.018699971982033117,63,2018-05-20
64,448,1.0314705017826702,1.045625736065587,0.025566196322353685,0.0033942630957311723,0.0004899419224970028,1.1581049082290078e-05,0.018770966918938856,0.005260775771692609,0.005260775771692609,0.01353757256987492,64,2018-05-27
65,455,1.0325689969741347,1.045625736065587,0.026043695751586604,0.0033683962359723012,0.0004987886582203757,1.1420328048042999e-05,0.018770966918938856,0.0010649797445162377,0.0010649797445162377,0.012487010065935517,65,2018-06-03
66,462,1.0334160830850434,1.045625736065587,0.02630876698652429,0.003342619449770135,0.0005036610658572772,1.1257489788787826e-05,0.018770966918938856,0.000820367562255878,0.000820367562255878,0.011676886441687295,66,2018-06-10
67,469,1.0330236287900358,1.045625736065587,0.025607832480075476,0.003318955208680789,0.0004904756161074775,1.109162010159506e-05,0.018770966918938856,-0.0003797640673792998,-0.0003797640673792998,0.012052216047177173,67,2018-06-17
68,476,1.0312392953681246,1.045625736065587,0.023868351176208558,0.00330505439473783,0.00045786138685614125,1.097238359362944e-05,0.018770966918938856,-0.0017272919729833874,-0.0017272919729833874,0.01375869032412561,68,2018-06-24
