,trade_days,wealths,max_weath,cagr,std,mean,mean_square,mdd,profit,reward,dd,episode,date
0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2017-03-05
1,7,0.9920917998298171,1.0,-0.33899593986482934,0.0,-0.0079082001701829,6.253962993168084e-05,0.0079082001701829,-0.0079082001701829,-0.0079082001701829,0.0079082001701829,1,2017-03-12
2,14,0.9983649642669746,1.0,-0.041765360200029966,0.010063097876249252,-0.0007925154221431092,5.126105012782077e-05,0.0079082001701829,0.006323169325896681,0.006323169325896681,0.0016350357330253695,2,2017-03-19
3,21,1.001266919998162,1.001266919998162,0.022250264458255398,0.007429292574444107,0.00044055915294744457,3.699035113837267e-05,0.0079082001701829,0.0029067083031285522,0.0029067083031285522,0.0,3,2017-03-26
4,28,1.003162424981588,1.003162424981588,0.04201821185674226,0.006109315204668357,0.0008036960069243858,2.8638726474040185e-05,0.0079082001701829,0.0018931065688552093,0.0018931065688552093,0.0,4,2017-04-02
5,35,1.0043390729499928,1.0043390729499928,0.04618733169906242,0.005293398457192501,0.0008775445331303566,2.3186138188913337e-05,0.0079082001701829,0.0011729386379542397,0.0011729386379542397,0.0,5,2017-04-09
6,42,1.0109549487767828,1.0109549487767828,0.09931364178069613,0.005277271251541565,0.0018291692912029839,2.6553853514502593e-05,0.0079082001701829,0.00658729308156612,0.00658729308156612,0.0,6,2017-04-16
7,49,1.0123069796804116,1.0123069796804116,0.09539486856312274,0.004821052186021051,0.0017589136745329722,2.3015958040463384e-05,0.0079082001701829,0.001337379974512903,0.001337379974512903,0.0,7,2017-04-23
8,56,1.0120868463410728,1.0123069796804116,0.0814557355145964,0.004517791042692311,0.001511867327811711,2.014487423415654e-05,0.0079082001701829,-0.00021745709923711806,-0.00021745709923711806,0.00021745709923711806,8,2017-04-30
9,63,1.0065108977642137,1.0123069796804116,0.038315404854125656,0.00483080146638231,0.0007317312007765021,2.127911304583558e-05,0.0079082001701829,-0.005509357815505169,-0.005509357815505169,0.005725616865773068,9,2017-05-07
10,70,1.006841407753407,1.0123069796804116,0.03619109501457407,0.004556309072123855,0.0006913952799708549,1.916198455781231e-05,0.0079082001701829,0.00032837199272003046,0.00032837199272003046,0.005399125005272803,10,2017-05-14
11,77,1.0128802839522293,1.0128802839522293,0.06254399391152177,0.004609100785928278,0.0011737995738419842,2.0690360034864955e-05,0.0079082001701829,0.005997842512553278,0.005997842512553278,0.0,11,2017-05-21
12,84,1.017115873046141,1.017115873046141,0.07653035864286895,0.004479567353600356,0.001424460214305135,2.042340027129348e-05,0.0079082001701829,0.004181727259399793,0.004181727259399793,0.0,12,2017-05-28
13,91,1.0230047658112926,1.0230047658112926,0.09551713166767128,0.004456475191805826,0.001760255225724707,2.1430964122934927e-05,0.0079082001701829,0.00578979536275957,0.00578979536275957,0.0,13,2017-06-04
