Symbol,Name,AUM,Avg Volume
SPY,SPDR S&P 500 ETF,339866000 ,78982875 
IVV,iShares Core S&P 500 ETF,261749000 ,4211251 
VTI,Vanguard Total Stock Market ETF,224731000 ,4447282 
VOO,Vanguard S&P 500 ETF,205382000 ,3893166 
QQQ,Invesco QQQ,153742000 ,45685238 
VEA,Vanguard FTSE Developed Markets ETF,94962400 ,9723377 
IEFA,iShares Core MSCI EAFE ETF,87779700 ,8998787 
AGG,iShares Core U.S. Aggregate Bond ETF,84503400 ,6248876 
VWO,Vanguard FTSE Emerging Markets ETF,78954300 ,11230334 
IEMG,iShares Core MSCI Emerging Markets ETF,78707800 ,12938868 
IWM,iShares Russell 2000 ETF,74180000 ,29617980 
VTV,Vanguard Value ETF,72509500 ,3144798 
IJR,iShares Core S&P Small-Cap ETF,71723800 ,5299634 
BND,Vanguard Total Bond Market ETF,70431000 ,5673531 
VUG,Vanguard Growth ETF,69897800 ,927556 
VIG,Vanguard Dividend Appreciation ETF,67318400 ,1539063 
IWF,iShares Russell 1000 Growth ETF,63474200 ,1467315 
IJH,iShares Core S&P Mid-Cap ETF,63180200 ,1330137 
GLD,SPDR Gold Trust,58283600 ,9803423 
EFA,iShares MSCI EAFE ETF,54880800 ,21294262 
IWD,iShares Russell 1000 Value ETF,50359000 ,2818060 
VO,Vanguard Mid-Cap Index ETF,49687000 ,714777 
VB,Vanguard Small Cap ETF,47255100 ,881336 
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,44387400 ,15206887 
VXUS,Vanguard Total International Stock ETF,43246000 ,3751827 
VGT,Vanguard Information Technology ETF,42330300 ,594171 
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,42213200 ,3981787 
BNDX,Vanguard Total International Bond ETF,39393000 ,3428469 
XLK,Technology Select Sector SPDR Fund,38757400 ,8588240 
VCSH,Vanguard Short-Term Corporate Bond ETF,37916200 ,3568379 
XLF,Financial Select Sector SPDR Fund,37902100 ,61228629 
ITOT,iShares Core S&P Total U.S. Stock Market ETF,36344500 ,1820473 
VNQ,Vanguard Real Estate Index Fund,36031100 ,4710632 
VYM,Vanguard High Dividend Yield ETF,35814600 ,1964342 
VEU,Vanguard FTSE All-World ex-US ETF,32786700 ,3147802 
BSV,Vanguard Short-Term Bond ETF,31718200 ,2528744 
IVW,iShares S&P 500 Growth ETF,31187600 ,2279494 
EEM,iShares MSCI Emerging Markets ETF,29455100 ,43624535 
DIA,SPDR Dow Jones Industrial Average ETF,28270900 ,3927990 
USMV,iShares Edge MSCI Min Vol USA ETF,28265300 ,4459613 
IAU,iShares Gold Trust,28031700 ,22895646 
SCHX,Schwab U.S. Large-Cap ETF,27795600 ,900985 
IWR,iShares Russell Midcap ETF,27595800 ,1298126 
IWB,iShares Russell 1000 ETF,27361500 ,695324 
IXUS,iShares Core MSCI Total International Stock ETF,26595900 ,1594214 
MBB,iShares MBS Bond ETF,26458300 ,1698403 
